ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
16CBE9844D401954,electric_bike,39:20.1,51:37.6,,,Canal St & Jackson Blvd,13138,41.91,-87.67,41.878125,-87.639968,member
1CB408029E2B5F74,electric_bike,04:22.2,27:41.3,,,Albany Ave & Bloomingdale Ave,15655,41.86,-87.68,41.91402671,-87.70512646,member
7B6A76CD0F204D08,electric_bike,06:19.7,29:17.5,,,Albany Ave & Bloomingdale Ave,15655,41.86,-87.68,41.91402671,-87.70512646,member
4F7084E3D75CDE31,electric_bike,28:14.6,35:06.2,,,Canal St & Jackson Blvd,13138,41.87,-87.63,41.878125,-87.639968,member
E419A570A5A0475B,electric_bike,54:14.5,17:53.3,,,Albany Ave & Bloomingdale Ave,15655,41.89,-87.67,41.91402671,-87.70512646,casual
79FBC35C1715F60C,electric_bike,14:36.8,18:28.8,,,Canal St & Jackson Blvd,13138,41.89,-87.64,41.878125,-87.639968,member
715E2B8DFC893AD8,electric_bike,37:16.2,45:43.1,,,Clybourn Ave & Division St,TA1307000115,41.91,-87.67,41.904613,-87.640552,member
13C9D648D25C5A8B,classic_bike,42:08.9,49:17.9,California Ave & Milwaukee Ave,13084,Albany Ave & Bloomingdale Ave,15655,41.922695,-87.697153,41.91402671,-87.70512646,member
726F12BE953D7C96,electric_bike,43:34.6,50:40.7,,,Canal St & Jackson Blvd,13138,41.89,-87.63,41.878125,-87.639968,member
13751EA8835DB24A,electric_bike,12:45.3,10:52.6,,,Albany Ave & Bloomingdale Ave,15655,41.75,-87.72,41.91402671,-87.70512646,member
C52AAA0868D055EF,electric_bike,47:37.5,04:44.2,,,Canal St & Jackson Blvd,13138,41.89,-87.62,41.878125,-87.639968,member
89972A6A6C94C5B5,electric_bike,23:08.3,30:33.5,,,Canal St & Jackson Blvd,13138,41.88,-87.66,41.878125,-87.639968,member
6D22880529F16D12,electric_bike,08:28.7,13:06.1,,,Canal St & Jackson Blvd,13138,41.89,-87.64,41.878125,-87.639968,member
706F1757DF48A89A,electric_bike,55:50.2,08:53.1,,,Canal St & Jackson Blvd,13138,41.89,-87.62,41.878125,-87.639968,member
0A76904B12B6BD69,electric_bike,03:30.8,12:25.2,,,Canal St & Jackson Blvd,13138,41.89,-87.67,41.878125,-87.639968,member
5B1DF1F5A8BB107C,electric_bike,23:19.7,43:03.7,,,Canal St & Jackson Blvd,13138,41.92,-87.64,41.878125,-87.639968,member
96C73FCE07DD8030,electric_bike,25:21.0,39:03.5,,,Canal St & Jackson Blvd,13138,41.83,-87.65,41.878125,-87.639968,member
61F33009C70C9521,electric_bike,41:27.6,49:58.4,,,Clybourn Ave & Division St,TA1307000115,41.89,-87.63,41.904613,-87.640552,member
71D2DED79727B0D0,electric_bike,06:27.1,12:21.2,,,Canal St & Jackson Blvd,13138,41.89,-87.64,41.878125,-87.639968,member
39638714AD30F6DF,electric_bike,12:18.5,41:48.4,,,Grace St & Cicero Ave,21322,41.94,-87.65,41.94973,-87.74695,member
1E9DE1CE9F8418A4,electric_bike,05:27.9,37:35.2,,,Albany Ave & Bloomingdale Ave,15655,41.88,-87.63,41.91402671,-87.70512646,member
764792EF8A9B9BF6,electric_bike,22:32.3,24:23.7,,,Clybourn Ave & Division St,TA1307000115,41.9,-87.64,41.904613,-87.640552,member
