ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
5C00A6B5A60E4AFC,electric_bike,56:46.8,11:54.9,,,,,41.88,-87.64,41.89,-87.62,casual
FB25D4B923656D01,electric_bike,15:53.1,34:13.7,,,,,41.95,-87.64,41.89,-87.61,casual
C665B0EC937C860C,electric_bike,27:31.4,38:29.9,,,,,41.92,-87.65,41.9,-87.64,casual
C68C54D5FD9717C2,electric_bike,33:21.1,39:58.1,,,,,41.89,-87.65,41.88,-87.65,casual
902D69C29B0E65F8,electric_bike,59:44.8,11:17.3,,,,,41.98,-87.68,41.95,-87.7,casual
D4353941B226DF56,electric_bike,26:27.8,04:04.7,,,,,41.86,-87.61,41.93,-87.64,casual
8CF73331F3513A6A,electric_bike,25:04.6,26:02.1,,,,,41.86,-87.61,41.86,-87.61,casual
3B47FE46F6282E59,electric_bike,38:24.3,59:27.9,,,,,41.87,-87.62,41.89,-87.61,casual
DB89E463719D72C0,electric_bike,54:20.1,59:02.3,,,,,41.88,-87.64,41.89,-87.64,casual
A3437BCA65687B4B,electric_bike,42:02.9,55:33.0,,,,,41.89,-87.63,41.92,-87.64,casual
BE04ABB8E33EE9A2,electric_bike,16:46.4,21:46.9,,,,,41.87,-87.61,41.86,-87.62,casual
C403F14C5519AA1B,electric_bike,32:07.8,45:00.5,,,,,41.93,-87.64,41.91,-87.66,member
CED423A8B4655F45,electric_bike,56:08.6,58:55.2,,,,,41.87,-87.61,41.87,-87.62,casual
7AA9AC7B283FCA52,electric_bike,51:19.4,12:28.8,,,,,41.91,-87.63,41.91,-87.69,casual
68C538B43B3064C3,electric_bike,53:50.9,02:19.6,,,,,41.83,-87.63,41.84,-87.62,casual
411029C5D0723806,electric_bike,44:20.2,03:40.8,,,,,41.87,-87.61,41.87,-87.63,casual
51182C0CE278FB7D,electric_bike,39:42.6,44:19.2,,,,,41.92,-87.64,41.91,-87.63,casual
F887DB4548EE7F52,electric_bike,08:22.3,21:10.4,,,,,41.88,-87.75,41.87,-87.69,casual
8BE189744F2E28E0,electric_bike,17:43.1,40:21.6,,,,,41.88,-87.64,41.92,-87.63,casual
0141D2EB04E27ECE,electric_bike,21:02.5,21:23.0,,,,,41.91,-87.63,41.91,-87.63,casual
C6A21946E098AB8D,electric_bike,18:56.2,19:18.4,,,,,41.91,-87.63,41.91,-87.63,casual
E426165A7FA75AF2,electric_bike,15:00.7,55:25.1,,,,,41.85,-87.63,41.8,-87.59,casual
B39F8ED30D02D4E7,electric_bike,12:18.3,13:35.7,,,,,41.85,-87.63,41.85,-87.63,casual
7DF1C979AC70FED1,electric_bike,41:35.7,08:10.8,,,,,41.94,-87.64,41.89,-87.64,casual
6B39025EE5312F4A,electric_bike,51:16.4,03:02.0,,,,,41.9,-87.68,41.93,-87.68,casual
23FB81DECD74B823,electric_bike,00:15.0,00:50.3,,,,,42.01,-87.67,42.01,-87.67,casual
F81474520325BA83,electric_bike,46:52.2,05:29.8,,,,,41.72,-87.61,41.69,-87.61,casual
FE3FE7F66B43E26E,electric_bike,35:34.4,44:36.6,,,,,41.91,-87.68,41.91,-87.68,casual
6EBC1D663DF7BBFB,electric_bike,24:11.2,31:48.8,,,,,41.89,-87.65,41.9,-87.65,casual
62DB314C8AA32FA5,electric_bike,53:01.0,53:17.5,,,,,41.88,-87.63,41.88,-87.63,casual
B5C188A79EEC3C07,electric_bike,32:15.5,49:18.1,,,,,41.95,-87.65,41.94,-87.64,member
7AD9C0F226444AC7,electric_bike,31:44.3,46:49.3,,,,,41.85,-87.63,41.83,-87.63,casual
28FB8BC7C51EA219,electric_bike,07:08.0,10:35.7,,,,,41.88,-87.66,41.88,-87.64,casual
78F8FB84E6F1F231,electric_bike,41:30.1,41:38.7,,,,,41.91,-87.65,41.91,-87.65,casual
23180D63A3BE4136,electric_bike,51:57.8,58:24.9,,,,,41.97,-87.69,41.95,-87.68,casual
C63120A83E92F1C1,electric_bike,36:46.0,42:57.6,,,,,41.94,-87.72,41.95,-87.72,member
ACD27D88937061B9,electric_bike,52:01.9,57:44.8,,,,,41.88,-87.64,41.89,-87.63,member
E047EB922981061B,electric_bike,17:06.0,35:59.8,,,,,41.85,-87.63,41.86,-87.62,casual
04F90FE0BA3A13A1,electric_bike,48:11.6,54:36.1,,,,,41.92,-87.63,41.93,-87.64,casual
89DE406B203B83BC,electric_bike,14:42.6,18:35.7,,,,,41.94,-87.66,41.95,-87.65,casual
4DD849A5A9E3AC09,electric_bike,37:03.5,43:15.9,,,,,41.95,-87.65,41.94,-87.64,casual
765294B80BB887F8,electric_bike,28:34.9,48:08.0,,,,,41.93,-87.69,41.94,-87.65,casual
CD8A7431C2CBEECB,electric_bike,12:37.0,24:26.6,,,,,41.92,-87.65,41.92,-87.65,casual
B0C57194379F2F93,electric_bike,15:06.5,17:49.8,,,,,41.93,-87.65,41.93,-87.65,casual
A95AA27E6D7A4858,electric_bike,09:46.0,12:55.3,,,,,41.93,-87.65,41.93,-87.65,casual
1E8319B903DBE9F8,electric_bike,56:43.9,07:59.9,,,,,41.91,-87.62,41.9,-87.63,casual
A66492075BC54AFB,electric_bike,09:55.2,21:25.4,,,,,41.89,-87.63,41.91,-87.63,casual
E2852A33F9E5ED35,electric_bike,25:57.4,37:57.8,,,,,41.92,-87.64,41.95,-87.65,casual
B8D50BA4B741531D,electric_bike,34:08.0,44:59.7,,,,,41.95,-87.65,41.92,-87.64,casual
0DE9B890FAFE308B,electric_bike,38:08.4,49:21.2,,,,,41.91,-87.65,41.89,-87.63,casual
312124F41CAC3C93,electric_bike,21:31.0,52:52.6,,,,,41.79,-87.59,41.89,-87.61,casual
7A7ECF3149F87C0A,electric_bike,57:56.9,58:07.6,,,,,41.91,-87.62,41.91,-87.62,casual
