ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
578DDD7CE1771FFA,classic_bike,21:58.2,28:57.3,Walsh Park,18067,Leavitt St & North Ave,TA1308000005,41.91461,-87.667968,41.910533,-87.682308,member
78B141C50102ABA6,classic_bike,49:00.4,56:15.5,Walsh Park,18067,Leavitt St & Armitage Ave,TA1309000029,41.91461,-87.667968,41.917805,-87.682437,member
1E794CF36394E2D7,classic_bike,24:00.2,28:33.5,Walsh Park,18067,Damen Ave & Cortland St,13133,41.91461,-87.667968,41.915983,-87.677335,member
E5DD2CAB58D73F98,classic_bike,51:14.1,05:32.6,Clark St & Elm St,TA1307000039,Clark St & Drummond Pl,TA1307000142,41.902973,-87.63128,41.931248,-87.644336,member
57F9878BC8C765F1,classic_bike,59:16.0,41:02.5,Clark St & Wellington Ave,TA1307000136,Streeter Dr & Grand Ave,13022,41.93649682,-87.64753866,41.892278,-87.612043,casual
631261306B4ADFBF,classic_bike,24:47.0,32:38.5,Ogden Ave & Congress Pkwy,13081,Aberdeen St & Jackson Blvd,13157,41.87501,-87.67328,41.87772613,-87.65478743,member
E2FE8185C8049E92,electric_bike,49:43.9,00:45.2,Wabash Ave & 9th St,TA1309000010,Aberdeen St & Jackson Blvd,13157,41.870769,-87.625734,41.87772613,-87.65478743,member
D6202DA89BEBEF10,classic_bike,04:14.8,07:10.5,Sheffield Ave & Wellington Ave,TA1307000052,Clark St & Wellington Ave,TA1307000136,41.93625348,-87.6526621,41.93649682,-87.64753866,member
FBD83C6776EB4EAE,electric_bike,20:38.1,25:23.8,Clark St & Elm St,TA1307000039,Clark St & Armitage Ave,13146,41.902973,-87.63128,41.918306,-87.636282,member
983509C7904EDFF4,classic_bike,14:53.0,43:23.3,Aberdeen St & Jackson Blvd,13157,Desplaines St & Kinzie St,TA1306000003,41.87772613,-87.65478743,41.88871604,-87.64444785,member
8408AAF0D83F57CA,classic_bike,08:18.9,54:38.0,Damen Ave & Cullerton St,13089,Kildare Ave & North Ave,23192,41.85496652,-87.67569959,41.9095392,-87.7338518,member
CDE47B733979B105,electric_bike,18:55.0,28:58.5,Walsh Park,18067,Albany Ave & Bloomingdale Ave,15655,41.91461,-87.667968,41.91402671,-87.70512646,casual
89A3E286B4F11651,electric_bike,09:01.8,12:48.7,Aberdeen St & Jackson Blvd,13157,Canal St & Jackson Blvd,13138,41.87772613,-87.65478743,41.878125,-87.639968,casual
B5DB4DB947F43A3B,electric_bike,10:51.1,16:23.4,Aberdeen St & Jackson Blvd,13157,Canal St & Jackson Blvd,13138,41.87774885,-87.65482509,41.878125,-87.639968,member
6530FAD7CDFC8E25,classic_bike,03:52.7,07:33.1,Aberdeen St & Jackson Blvd,13157,Sangamon St & Washington Blvd,13409,41.87772613,-87.65478743,41.883165,-87.6511,member
