ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
AAED255E1310E516,classic_bike,19:53.2,25:53.5,Wells St & Polk St,CHI00606,Franklin St & Washington St,CHI02074,41.87273154,-87.63351649,41.88318,-87.63511,member
F90C86BF3BB85040,classic_bike,42:55.5,04:08.7,Racine Ave & Wrightwood Ave,CHI00506,McClurg Ct & Ohio St,CHI00330,41.928887,-87.658971,41.89259212,-87.61728913,member
90429D9729A3EE8E,classic_bike,18:23.6,28:39.0,Clinton St & 18th St,CHI00235,Desplaines St & Jackson Blvd,CHI00518,41.85795,-87.640826,41.8781189,-87.6439476,casual
C8433F9B78A1E63D,electric_bike,45:56.5,07:24.4,Pine Grove Ave & Irving Park Rd,CHI00482,Wells St & Huron St,CHI00294,41.95439804,-87.6479975,41.8947953,-87.6343743,member
62F3C413C442C154,electric_bike,08:45.1,12:34.8,Pine Grove Ave & Irving Park Rd,CHI00482,Sheridan Rd & Montrose Ave,CHI00290,41.9543646,-87.6479285,41.96167,-87.65464,member
DF0CEFD010EE5237,classic_bike,43:42.7,50:47.4,The Salt Shed,CHI02100,Milwaukee Ave & Grand Ave,CHI01750,41.90689,-87.65978,41.891578,-87.648384,member
7E5C9292B60C1B01,electric_bike,29:32.0,43:09.7,Franklin St & Lake St,CHI00376,Clark St & Armitage Ave,CHI00474,41.885837,-87.6355,41.918306,-87.636282,member
676302BAE8B0AA0B,electric_bike,19:18.1,30:25.9,Field Blvd & South Water St,CHI00383,Dearborn Pkwy & Delaware Pl,CHI00306,41.88634906,-87.61751655,41.898969,-87.629912,member
879A7D241334AE70,classic_bike,48:46.9,57:13.0,Racine Ave & Congress Pkwy,CHI00265,Halsted St & Maxwell St,CHI00437,41.87464,-87.65703,41.864883,-87.647071,member
CFA8AB973459437C,electric_bike,04:24.1,09:27.8,Wells St & Polk St,CHI00606,,,41.87273154,-87.63351649,41.87,-87.65,member
F0792B64E8E2B1B2,electric_bike,07:31.8,26:54.4,Wells St & Polk St,CHI00606,,,41.87273154,-87.63351649,41.92,-87.64,member
062C26459252A5D0,classic_bike,08:33.8,23:49.2,Kedzie Ave & Milwaukee Ave,CHI00378,Leavitt St & Hirsch St,CHI02107,41.928999,-87.70803,41.90689,-87.68233,member
1C7C749D0CE33D7B,electric_bike,44:00.3,50:22.4,Southport Ave & Wrightwood Ave,CHI00339,Hampden Ct & Diversey Pkwy,CHI02087,41.928773,-87.663913,41.93247,-87.64242,member
CBCB358C4C1CB1CD,classic_bike,08:55.9,15:41.5,Wells St & Polk St,CHI00606,Clinton St & Madison St,CHI00233,41.87273154,-87.63351649,41.88275197,-87.64119029,member
E90C606475691415,electric_bike,04:49.5,15:52.7,Emerald Ave & 31st St,CHI00486,Clinton St & Roosevelt Rd,CHI00497,41.838198,-87.645143,41.86711778,-87.64108796,member
33A23C89E5EF39BA,electric_bike,25:46.7,48:25.9,Christiana Ave & Lawrence Ave,CHI00302,Wood St & Beach Ave,CHI00329,41.96835449,-87.71183067,41.907655,-87.672552,member
72BFEF0211ACDA35,classic_bike,27:10.9,42:54.2,State St & 54th St,CHI01078,Drexel Ave & 60th St,CHI01902,41.796642,-87.625923,41.785861,-87.604553,member
A2D28803F7B067C2,classic_bike,44:54.6,47:10.8,Racine Ave & Wrightwood Ave,CHI00506,Lincoln Ave & Diversey Pkwy,CHI00285,41.928887,-87.658971,41.932225,-87.658617,member
3EB33D882A7D580F,classic_bike,34:40.1,42:56.9,Noble St & Milwaukee Ave,CHI00457,Damen Ave & Pierce Ave,CHI02057,41.9007,-87.662607,41.9093581,-87.6777585,member
3ED1B8F6248214A4,electric_bike,24:59.7,31:51.1,Damen Ave & Grand Ave,CHI00417,Francisco Ave & Chicago Ave,CHI02080,41.89239445,-87.67688513,41.895745,-87.698653,member
81D6FDB3DD50254A,classic_bike,33:34.1,43:04.6,Wells St & Polk St,CHI00606,Orleans St & Hubbard St,CHI00750,41.87273154,-87.63351649,41.890028,-87.636618,member
53D8732CA63A7A0F,electric_bike,35:28.7,43:35.6,Ogden Ave & Race Ave,CHI00229,Rush St & Illinois St,CHI02141,41.891795,-87.658751,41.89087,-87.62584,member
772BABDEDE11874D,classic_bike,48:02.8,04:53.8,Wells St & Polk St,CHI00606,Wells St & 19th St,CHI00782,41.87273154,-87.63351649,41.856802,-87.633879,member
E7EC1889B5F55D44,classic_bike,30:00.6,54:12.7,DuSable Lake Shore Dr & North Blvd,CHI00525,State St & Randolph St,CHI00251,41.911722,-87.626804,41.88462107,-87.62783423,member
5B0EAAF7EE3D4A54,electric_bike,29:24.5,43:50.0,Clinton St & 18th St,CHI00235,Franklin St & Chicago Ave,CHI01745,41.85795,-87.640826,41.89679,-87.63564,member
D5B8A7F1E8CBFC34,classic_bike,42:18.7,52:28.8,DuSable Lake Shore Dr & North Blvd,CHI00525,Wabash Ave & Grand Ave,CHI00313,41.911722,-87.626804,41.891466,-87.626761,member
F1C660D58E76700E,classic_bike,52:58.6,00:22.4,Racine Ave & Wrightwood Ave,CHI00506,Burling St & Diversey Pkwy,CHI00327,41.928887,-87.658971,41.93314,-87.64776,member
A501A80A7DF8E8F7,classic_bike,59:02.4,12:14.4,Pine Grove Ave & Irving Park Rd,CHI00482,Southport Ave & Belmont Ave,CHI00335,41.9543646,-87.6479285,41.93947775,-87.66374767,member
7D3C32B029C93A25,electric_bike,09:14.7,15:48.0,Morgan St & Lake St*,CHI00878,Ashland Ave & Chicago Ave,CHI00338,41.88549171,-87.65228927,41.89595436,-87.66772807,member
C7B1FA80498837F9,electric_bike,03:43.3,18:36.9,Racine Ave & Wrightwood Ave,CHI00506,Racine Ave & Wrightwood Ave,CHI00506,41.928887,-87.658971,41.928887,-87.658971,member
3FE6769C017982BD,electric_bike,04:23.2,37:02.8,Racine Ave & Wrightwood Ave,CHI00506,Racine Ave & Wrightwood Ave,CHI00506,41.92890513,-87.6589886,41.928887,-87.658971,member
4C348B108103BAB3,classic_bike,18:38.5,28:01.7,Wells St & Polk St,CHI00606,Daley Center Plaza,CHI00253,41.87273154,-87.63351649,41.884241,-87.629634,member
4BB51C6CD463674D,classic_bike,25:41.9,57:40.6,Pine Grove Ave & Irving Park Rd,CHI00482,Navy Pier,CHI01747,41.9543646,-87.6479285,41.892278,-87.612043,member
6C7127FDCC64A245,electric_bike,35:51.1,56:52.6,Clark St & Grace St,CHI00301,Kedzie Ave & Foster Ave,CHI00651,41.95078,-87.659172,41.975672,-87.709261,member
74620F4178442AF4,classic_bike,55:47.0,04:00.0,Morgan St & Lake St*,CHI00878,Wacker Dr & Washington St,CHI01787,41.88549171,-87.65228927,41.88314336,-87.63724208,member
