ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the_week,month
7569BC890583FCD7,classic_bike,23:54.5,37:52.0,Wacker Dr & Washington St,KA1503000072,McClurg Ct & Ohio St,TA1306000029,41.8831,-87.6372,41.8926,-87.6173,member,0:13:57,7,1
013609308856B7FC,electric_bike,44:06.8,49:11.1,Halsted St & Wrightwood Ave,TA1309000061,Racine Ave & Belmont Ave,TA1308000019,41.9291,-87.6492,41.9397,-87.6589,member,0:05:04,5,1
EACACD3CE0607C0D,classic_bike,16:27.7,28:03.2,Southport Ave & Waveland Ave,13235,Broadway & Cornelia Ave,13278,41.9482,-87.6641,41.9455,-87.6464,member,0:11:36,5,1
EAA2485BA64710D3,classic_bike,49:05.8,52:40.0,Southport Ave & Waveland Ave,13235,Southport Ave & Roscoe St,13071,41.9482,-87.6641,41.9437,-87.664,member,0:03:34,5,1
7F8BE2471C7F746B,electric_bike,38:32.3,41:06.8,Southport Ave & Waveland Ave,13235,Southport Ave & Roscoe St,13071,41.9482,-87.6641,41.9437,-87.664,member,0:02:34,5,1
0B8DD16A9B77A1C7,electric_bike,09:06.8,10:55.8,Halsted St & 21st St,13162,Halsted St & 18th St,13099,41.8538,-87.6466,41.8575,-87.646,member,0:01:49,1,1
65DD88D2EA5AA24A,electric_bike,11:59.7,15:54.2,Halsted St & Wrightwood Ave,TA1309000061,Southport Ave & Wrightwood Ave,TA1307000113,41.9291,-87.6491,41.9288,-87.6639,member,0:03:55,6,1
EAC4EE361C030130,electric_bike,43:29.0,01:38.9,Stave St & Armitage Ave,13266,Canal St & Madison St,13341,41.9177,-87.6914,41.8824,-87.6398,member,0:18:10,2,1
46267A54446162B5,electric_bike,45:24.7,50:20.5,Larrabee St & Kingsbury St,TA1306000009,Ogden Ave & Race Ave,13194,41.8978,-87.6429,41.8918,-87.6588,member,0:04:56,4,1
B5D4F9782121EA51,electric_bike,56:36.9,03:26.6,Albany Ave & Bloomingdale Ave,15655,Campbell Ave & Fullerton Ave,15648,41.914,-87.7051,41.9246,-87.6893,member,0:06:50,3,1
3C1E48C025E88653,classic_bike,52:33.9,23:51.9,DuSable Lake Shore Dr & Wellington Ave,TA1307000041,Broadway & Barry Ave,13137,41.9367,-87.6368,41.9376,-87.6441,member,0:31:18,7,1
B157E60BBF2BA5F6,electric_bike,23:29.6,30:29.6,Clark St & Drummond Pl,TA1307000142,Clark St & Newport St,632,41.9312,-87.6443,41.9445,-87.6547,member,0:07:00,6,1
81AE62C30F86C0D2,classic_bike,11:31.1,17:05.3,Larrabee St & Kingsbury St,TA1306000009,Ogden Ave & Chicago Ave,TA1305000020,41.8978,-87.6429,41.8964,-87.6541,member,0:05:34,4,1
4978AFB4F96F17A6,classic_bike,20:23.4,28:29.5,Larrabee St & Kingsbury St,TA1306000009,State St & Pearson St,TA1307000061,41.8978,-87.6429,41.8974,-87.6287,member,0:08:06,2,1
1DCC4C0315A3B282,classic_bike,52:47.4,54:36.0,Calumet Ave & 18th St,13102,Calumet Ave & 18th St,13102,41.8576,-87.6194,41.8576,-87.6194,member,0:01:49,6,1
5B29C4C95B5320DA,electric_bike,06:42.8,11:43.9,Sheffield Ave & Webster Ave,TA1309000033,Halsted St & Clybourn Ave,331,41.9215,-87.6538,41.9097,-87.6481,member,0:05:01,5,1
18048F3531DAF576,electric_bike,20:05.1,23:32.4,Canal St & Jackson Blvd,13138,Halsted St & Polk St,TA1307000121,41.8781,-87.64,41.8718,-87.6466,member,0:03:27,7,1
E2ACFA5C736376F6,electric_bike,26:24.1,42:18.7,California Ave & Fletcher St,15642,Kosciuszko Park,15643,41.9384,-87.698,41.9306,-87.7238,member,0:15:55,6,1
B1810A3462EAA084,classic_bike,13:25.0,15:55.1,Hermitage Ave & Polk St,13080,Wood St & Taylor St (Temp),13285,41.8715,-87.6699,41.8693,-87.6737,member,0:02:30,5,1
461D6EC2A99BC110,classic_bike,45:46.5,05:59.3,Racine Ave & 15th St,13304,Stetson Ave & South Water St,TA1308000029,41.8613,-87.6566,41.8868,-87.6223,casual,0:20:13,2,1
172BD369FF6D3ADA,classic_bike,51:00.1,19:18.7,Central Park Ave & Elbridge Ave,15644,Kimball Ave & Belmont Ave,KA150400009X,41.9353,-87.7169,41.9394,-87.7121,member,0:28:19,2,1
AF381E3683CE622B,classic_bike,24:36.8,31:15.0,Morgan St & Polk St,TA1307000130,Desplaines St & Jackson Blvd,15539,41.8717,-87.651,41.8781,-87.6439,member,0:06:38,5,1
90912007C68DC8DA,electric_bike,35:09.2,51:53.1,Ritchie Ct & Banks St,KA1504000134,Stetson Ave & South Water St,TA1308000029,41.9069,-87.6262,41.8868,-87.6223,member,0:16:44,6,1
5A7142E8A39FC161,electric_bike,56:43.9,00:28.1,Aberdeen St & Jackson Blvd,13157,Desplaines St & Jackson Blvd,15539,41.8779,-87.6548,41.8781,-87.6439,member,0:03:44,5,1
2D20CCFBE6719E47,classic_bike,12:04.1,19:13.9,Clinton St & Roosevelt Rd,WL-008,Desplaines St & Jackson Blvd,15539,41.8671,-87.6411,41.8781,-87.6439,member,0:07:10,5,1
009707A9E9077E1D,classic_bike,09:17.3,48:45.9,Shedd Aquarium,15544,DuSable Lake Shore Dr & North Blvd,LF-005,41.8672,-87.6154,41.9117,-87.6268,member,0:39:29,4,1
3DE54C00139A213B,classic_bike,53:07.3,56:35.8,Sheffield Ave & Willow St,TA1306000032,Sheffield Ave & Willow St,TA1306000032,41.9137,-87.6529,41.9137,-87.6529,member,0:03:28,4,1
DAFEB128254B6252,classic_bike,21:53.3,36:23.6,Clark St & Elm St,TA1307000039,Canal St & Monroe St,13056,41.903,-87.6313,41.8829,-87.6397,member,0:14:30,3,1
29EB50E4965FA8A6,electric_bike,17:02.2,21:39.0,Sawyer Ave & Irving Park Rd,KA1504000096,Drake Ave & Addison St,KA1504000142,41.9536,-87.7093,41.9473,-87.7176,member,0:04:37,5,1
260FC94B2A150AE5,electric_bike,10:03.2,22:46.5,Desplaines St & Randolph St,15535,Canal St & Monroe St,13056,41.8837,-87.6442,41.8829,-87.6397,casual,0:12:43,6,1
4B81EE1E1B413989,electric_bike,39:30.3,48:08.0,Lincoln Ave & Roscoe St*,chargingstx5,Racine Ave & Fullerton Ave,TA1306000026,41.9434,-87.6707,41.9256,-87.6584,casual,0:08:38,3,1
0B6242FC5805AB59,electric_bike,28:17.9,50:01.0,Clark St & Schreiber Ave,KA1504000156,Racine Ave & Fullerton Ave,TA1306000026,41.9992,-87.6712,41.9256,-87.6584,casual,0:21:43,2,1
14CD6059DA03A8F4,electric_bike,42:46.4,42:52.5,Racine Ave & 15th St,13304,Racine Ave & 15th St,13304,41.8613,-87.6566,41.8613,-87.6566,member,0:00:06,7,1
83D1D41B252447DB,classic_bike,48:21.1,56:51.8,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.8728,-87.624,41.8728,-87.624,casual,0:08:31,6,1
358ED720AFD7C8CB,classic_bike,15:05.4,16:09.2,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.8728,-87.624,41.8728,-87.624,casual,0:01:04,1,1
21541548CF3FF7D1,classic_bike,14:12.7,27:15.0,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.7953,-87.5965,41.7953,-87.5965,casual,0:13:02,5,1
D09E525EB019E3E8,electric_bike,29:09.3,43:54.2,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.7953,-87.5965,41.7953,-87.5965,casual,0:14:45,3,1
3AD12C150A88E79E,electric_bike,23:50.9,27:59.5,Racine Ave & Belmont Ave,TA1308000019,Racine Ave & Fullerton Ave,TA1306000026,41.9397,-87.6589,41.9256,-87.6584,casual,0:04:09,1,1
D36106CA93DC1B8C,electric_bike,29:43.3,37:16.6,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.7953,-87.5965,41.7953,-87.5965,casual,0:07:33,6,1
27064F31728CCFE3,classic_bike,05:00.3,11:18.2,Racine Ave & Fullerton Ave,TA1306000026,Racine Ave & Belmont Ave,TA1308000019,41.9256,-87.6584,41.9397,-87.6589,casual,0:06:18,5,1
